variables = "X","Y","Z","HL","rh","u","v","w","p","T", "vor_x","vor_y","vor_z","Vor","Q_cri","Mach"
 zone i=          81  j=          81
-0.222220D+00  0.000000D+00  0.100000D+01 1 0.116069D+01  0.159439D+03  0.000000D+00  0.000000D+00  0.717957D+00  0.618561D+00  0.000000D+00  0.000000D+00  0.237255D-03  0.237255D-03 -0.190069D-10  0.202868D+01
-0.208905D+00  0.000000D+00  0.100000D+01 1 0.116088D+01  0.159432D+03  0.000000D+00  0.000000D+00  0.718124D+00  0.618603D+00  0.000000D+00  0.000000D+00  0.239423D-03  0.239423D-03 -0.189384D-10  0.202853D+01
-0.196139D+00  0.000000D+00  0.100000D+01 1 0.116109D+01  0.159426D+03  0.000000D+00  0.000000D+00  0.718303D+00  0.618647D+00  0.000000D+00  0.000000D+00  0.241676D-03  0.241676D-03 -0.202244D-10  0.202837D+01
-0.183907D+00  0.000000D+00  0.100000D+01 1 0.116131D+01  0.159418D+03  0.000000D+00  0.000000D+00  0.718494D+00  0.618694D+00  0.000000D+00  0.000000D+00  0.239832D-03  0.239832D-03 -0.210711D-10  0.202820D+01
-0.172192D+00  0.000000D+00  0.100000D+01 1 0.116154D+01  0.159410D+03  0.000000D+00  0.000000D+00  0.718695D+00  0.618743D+00  0.000000D+00  0.000000D+00  0.233562D-03  0.233562D-03 -0.210634D-10  0.202802D+01
-0.160979D+00  0.000000D+00  0.100000D+01 1 0.116178D+01  0.159402D+03  0.000000D+00  0.000000D+00  0.718902D+00  0.618794D+00  0.000000D+00  0.000000D+00  0.223297D-03  0.223297D-03 -0.212344D-10  0.202783D+01
-0.150252D+00  0.000000D+00  0.100000D+01 1 0.116202D+01  0.159394D+03  0.000000D+00  0.000000D+00  0.719114D+00  0.618846D+00  0.000000D+00  0.000000D+00  0.209919D-03  0.209919D-03 -0.211643D-10  0.202764D+01
-0.139994D+00  0.000000D+00  0.100000D+01 1 0.116227D+01  0.159386D+03  0.000000D+00  0.000000D+00  0.719326D+00  0.618898D+00  0.000000D+00  0.000000D+00  0.194614D-03  0.194614D-03 -0.203234D-10  0.202745D+01
-0.130191D+00  0.000000D+00  0.100000D+01 1 0.116251D+01  0.159378D+03  0.000000D+00  0.000000D+00  0.719538D+00  0.618951D+00  0.000000D+00  0.000000D+00  0.177884D-03  0.177884D-03 -0.180020D-10  0.202726D+01
-0.120825D+00  0.000000D+00  0.100000D+01 1 0.116275D+01  0.159370D+03  0.000000D+00  0.000000D+00  0.719746D+00  0.619002D+00  0.000000D+00  0.000000D+00  0.158413D-03  0.158413D-03 -0.153114D-10  0.202708D+01
-0.111881D+00  0.000000D+00  0.100000D+01 1 0.116298D+01  0.159362D+03  0.000000D+00  0.000000D+00  0.719947D+00  0.619051D+00  0.000000D+00  0.000000D+00  0.139045D-03  0.139045D-03 -0.133078D-10  0.202690D+01
-0.103344D+00  0.000000D+00  0.100000D+01 1 0.116321D+01  0.159355D+03  0.000000D+00  0.000000D+00  0.720139D+00  0.619098D+00  0.000000D+00  0.000000D+00  0.139705D-03  0.139705D-03  0.145699D-10  0.202673D+01
-0.952000D-01  0.000000D+00  0.100000D+01 1 0.116342D+01  0.159348D+03  0.000000D+00  0.000000D+00  0.720323D+00  0.619143D+00  0.000000D+00  0.000000D+00  0.160523D-03  0.160523D-03  0.248641D-10  0.202656D+01
-0.874000D-01  0.000000D+00  0.100000D+01 1 0.116362D+01  0.159341D+03  0.000000D+00  0.000000D+00  0.720498D+00  0.619186D+00  0.000000D+00  0.000000D+00  0.175034D-03  0.175034D-03 -0.243455D-13  0.202641D+01
-0.800000D-01  0.000000D+00  0.100000D+01 1 0.116381D+01  0.159334D+03  0.000000D+00  0.000000D+00  0.720664D+00  0.619227D+00  0.000000D+00  0.000000D+00  0.125297D-03  0.125297D-03 -0.741283D-10  0.202626D+01
-0.730000D-01  0.000000D+00  0.100000D+01 1 0.116399D+01  0.159328D+03  0.000000D+00  0.000000D+00  0.720819D+00  0.619265D+00  0.000000D+00  0.000000D+00  0.850833D-04  0.850833D-04  0.661404D-12  0.202612D+01
-0.662000D-01  0.000000D+00  0.100000D+01 1 0.116416D+01  0.159323D+03  0.000000D+00  0.000000D+00  0.720969D+00  0.619302D+00  0.000000D+00  0.000000D+00  0.855075D-04  0.855075D-04 -0.345617D-11  0.202599D+01
-0.598000D-01  0.000000D+00  0.100000D+01 1 0.116432D+01  0.159317D+03  0.000000D+00  0.000000D+00  0.721108D+00  0.619336D+00  0.000000D+00  0.000000D+00  0.384170D-04  0.384170D-04 -0.253532D-10  0.202586D+01
-0.537000D-01  0.000000D+00  0.100000D+01 1 0.116448D+01  0.159312D+03  0.000000D+00  0.000000D+00  0.721239D+00  0.619368D+00  0.000000D+00  0.000000D+00  0.639420D-16  0.639420D-16  0.980151D-35  0.202575D+01
-0.479000D-01  0.000000D+00  0.100000D+01 1 0.116462D+01  0.159307D+03  0.000000D+00  0.000000D+00  0.721363D+00  0.619398D+00  0.000000D+00  0.000000D+00  0.187154D-16  0.187154D-16 -0.748524D-35  0.202564D+01
-0.424000D-01  0.000000D+00  0.100000D+01 1 0.116475D+01  0.159303D+03  0.000000D+00  0.000000D+00  0.721479D+00  0.619427D+00  0.000000D+00  0.000000D+00 -0.232184D-16  0.232184D-16  0.188976D-34  0.202553D+01
-0.371000D-01  0.000000D+00  0.100000D+01 1 0.116488D+01  0.159299D+03  0.000000D+00  0.000000D+00  0.721590D+00  0.619454D+00  0.000000D+00  0.000000D+00 -0.606908D-16  0.606908D-16  0.495054D-34  0.202543D+01
-0.321000D-01  0.000000D+00  0.100000D+01 1 0.116500D+01  0.159295D+03  0.000000D+00  0.000000D+00  0.721693D+00  0.619479D+00  0.000000D+00  0.000000D+00  0.432278D-04  0.432278D-04  0.347171D-10  0.202534D+01
